"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2023","3.020","2.990","3.070","2.980","3.39M","1.00%"
"10/30/2023","2.990","3.000","3.030","2.990","4.36M","0.00%"
"10/27/2023","2.990","2.990","3.000","2.980","1.99M","0.00%"
"10/26/2023","2.990","3.030","3.030","2.980","3.05M","-0.66%"
"10/25/2023","3.010","3.010","3.040","2.990","6.05M","0.33%"
"10/24/2023","3.000","3.010","3.050","2.990","1.53M","-0.66%"
"10/23/2023","3.020","3.030","3.070","2.990","5.49M","-0.98%"
"10/20/2023","3.050","3.020","3.050","2.870","5.45M","0.99%"
"10/19/2023","3.020","3.030","3.080","3.010","1.17M","-1.63%"
"10/18/2023","3.070","3.150","3.160","3.070","1.01M","-3.76%"
"10/17/2023","3.190","3.170","3.220","3.170","991.06K","0.00%"
"10/16/2023","3.190","3.220","3.220","3.140","1.41M","-0.93%"
"10/13/2023","3.220","3.270","3.270","3.150","2.10M","-1.83%"
"10/12/2023","3.280","3.330","3.340","3.270","2.28M","-1.20%"
"10/11/2023","3.320","3.270","3.370","3.260","2.83M","2.47%"
"10/10/2023","3.240","3.270","3.320","3.240","331.19K","-0.31%"
"10/09/2023","3.250","3.320","3.320","3.250","1.61M","-3.56%"
"10/06/2023","3.370","3.370","3.370","3.320","499.26K","0.30%"
"10/05/2023","3.360","3.390","3.390","3.360","728.42K","-0.88%"
"10/04/2023","3.390","3.440","3.440","3.370","2.90M","-0.88%"
"10/03/2023","3.420","3.480","3.490","3.410","2.68M","-1.72%"
"10/02/2023","3.480","3.480","3.520","3.440","3.96M","-0.57%"
"09/28/2023","3.500","3.600","3.620","3.500","18.14M","-1.96%"
"09/27/2023","3.570","3.590","3.610","3.560","1.36M","-0.56%"
"09/26/2023","3.590","3.600","3.620","3.580","7.37M","0.28%"
"09/25/2023","3.580","3.630","3.660","3.580","5.08M","-1.10%"
"09/22/2023","3.620","3.510","3.620","3.510","12.16M","2.84%"
"09/21/2023","3.520","3.500","3.520","3.490","702.57K","0.57%"
"09/20/2023","3.500","3.500","3.510","3.490","1.28M","0.00%"
"09/19/2023","3.500","3.520","3.520","3.480","3.61M","-0.28%"
"09/18/2023","3.510","3.510","3.530","3.500","1.13M","0.57%"
"09/15/2023","3.490","3.540","3.540","3.490","4.45M","-1.13%"
"09/14/2023","3.530","3.550","3.550","3.520","1.17M","-0.56%"
"09/13/2023","3.550","3.540","3.560","3.510","4.35M","0.57%"
"09/12/2023","3.530","3.550","3.580","3.500","6.40M","-0.56%"
"09/11/2023","3.550","3.420","3.570","3.420","16.16M","4.41%"
"09/08/2023","3.400","3.420","3.430","3.400","272.04K","0.00%"
"09/07/2023","3.400","3.400","3.460","3.400","3.52M","0.00%"
"09/06/2023","3.400","3.410","3.430","3.390","5.25M","-0.29%"
"09/05/2023","3.410","3.430","3.460","3.410","1.33M","-1.45%"
"09/04/2023","3.460","3.450","3.480","3.440","3.33M","0.29%"
"09/01/2023","3.450","3.440","3.500","3.430","8.03M","0.29%"
"08/31/2023","3.440","3.440","3.450","3.410","2.30M","0.29%"
"08/30/2023","3.430","3.430","3.440","3.410","3.68M","1.18%"
"08/29/2023","3.390","3.420","3.430","3.390","844.38K","-0.59%"
"08/28/2023","3.410","3.420","3.450","3.400","5.73M","0.29%"
"08/25/2023","3.400","3.400","3.440","3.390","3.28M","0.59%"
"08/24/2023","3.380","3.380","3.410","3.360","1.34M","0.00%"
"08/23/2023","3.380","3.420","3.420","3.370","2.12M","-0.59%"
"08/22/2023","3.400","3.370","3.470","3.350","7.32M","0.59%"
"08/21/2023","3.380","3.370","3.410","3.350","1.27M","0.30%"
"08/18/2023","3.370","3.380","3.400","3.360","1.07M","-0.30%"
"08/17/2023","3.380","3.360","3.380","3.340","1.45M","0.00%"
"08/16/2023","3.380","3.390","3.430","3.330","2.08M","-1.17%"
"08/15/2023","3.420","3.420","3.450","3.380","5.10M","0.00%"
"08/14/2023","3.420","3.390","3.500","3.390","13.76M","1.48%"
"08/11/2023","3.370","3.360","3.420","3.340","3.81M","0.30%"
"08/10/2023","3.360","3.350","3.410","3.350","2.46M","-0.30%"
"08/09/2023","3.370","3.340","3.400","3.330","1.99M","0.00%"
"08/08/2023","3.370","3.330","3.400","3.300","3.63M","0.60%"
"08/07/2023","3.350","3.290","3.390","3.100","4.31M","1.52%"
"08/04/2023","3.300","3.320","3.350","3.290","1.26M","0.00%"
"08/03/2023","3.300","3.450","3.470","3.300","5.86M","-2.94%"
"08/02/2023","3.400","3.220","3.650","3.220","32.04M","5.26%"
"08/01/2023","3.230","3.230","3.250","3.220","563.37K","-0.31%"
"07/31/2023","3.240","3.220","3.280","3.220","590.41K","-0.31%"
"07/28/2023","3.250","3.230","3.250","3.210","250.77K","0.62%"
"07/27/2023","3.230","3.260","3.270","3.190","1.42M","-0.62%"
"07/26/2023","3.250","3.250","3.290","3.240","1.11M","0.00%"
"07/25/2023","3.250","3.260","3.280","3.250","219.47K","-0.31%"
"07/24/2023","3.260","3.270","3.300","3.250","1.57M","-0.61%"
"07/20/2023","3.280","3.270","3.300","3.260","263.03K","-0.30%"
"07/19/2023","3.290","3.320","3.370","3.270","2.25M","-0.30%"
"07/18/2023","3.300","3.240","3.340","3.160","3.60M","1.85%"
"07/17/2023","3.240","3.240","3.260","3.220","1.30M","-0.61%"
"07/14/2023","3.260","3.240","3.280","3.240","355.73K","0.00%"
"07/13/2023","3.260","3.260","3.310","3.240","3.18M","-0.31%"
"07/12/2023","3.270","3.300","3.340","3.270","569.99K","0.62%"
"07/11/2023","3.250","3.330","3.330","3.250","268.84K","-2.11%"
"07/10/2023","3.320","3.310","3.380","3.300","503.25K","-1.48%"
"07/07/2023","3.370","3.350","3.400","3.350","292.59K","-0.30%"
"07/06/2023","3.380","3.370","3.440","3.360","2.09M","0.30%"
"07/05/2023","3.370","3.360","3.410","3.360","779.52K","-2.32%"
"07/04/2023","3.450","3.320","3.460","3.280","8.19M","4.55%"
"07/03/2023","3.300","3.380","3.400","3.270","6.40M","-6.52%"
"06/26/2023","3.530","3.280","3.530","3.210","90.62M","7.62%"
"06/23/2023","3.280","3.290","3.290","3.220","4.94M","-0.61%"
"06/22/2023","3.300","3.310","3.320","3.250","5.48M","0.00%"
"06/21/2023","3.300","3.250","3.310","3.250","5.91M","0.92%"
"06/20/2023","3.270","3.240","3.300","3.220","5.44M","0.93%"
"06/19/2023","3.240","3.150","3.240","3.150","2.67M","3.85%"
